"filename", "language", "C++", "reStructuredText", "C", "comment", "blank", "total"
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\stopwatch.h", "C++", 34, 0, 0, 22, 11, 67
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\tweakme.h", "C++", 1, 0, 0, 121, 20, 142
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\version.h", "C++", 6, 0, 0, 2, 4, 12
"d:\VS Code stuff\ai-programming-agent\third_party\sqlite3\shell.c", "C", 0, 0, 24939, 6680, 2082, 33701
"d:\VS Code stuff\ai-programming-agent\third_party\sqlite3\sqlite-amalgamation-3490100\shell.c", "C", 0, 0, 24939, 6680, 2082, 33701
"d:\VS Code stuff\ai-programming-agent\third_party\sqlite3\sqlite-amalgamation-3490100\sqlite3.c", "C", 0, 0, 165023, 79883, 16549, 261455
"d:\VS Code stuff\ai-programming-agent\third_party\sqlite3\sqlite-amalgamation-3490100\sqlite3.h", "C++", 1808, 0, 0, 11552, 356, 13716
"d:\VS Code stuff\ai-programming-agent\third_party\sqlite3\sqlite-amalgamation-3490100\sqlite3ext.h", "C++", 613, 0, 0, 101, 6, 720
"d:\VS Code stuff\ai-programming-agent\third_party\sqlite3\sqlite3.c", "C", 0, 0, 165023, 79883, 16549, 261455
"d:\VS Code stuff\ai-programming-agent\third_party\sqlite3\sqlite3.h", "C++", 1808, 0, 0, 11552, 356, 13716
"d:\VS Code stuff\ai-programming-agent\third_party\sqlite3\sqlite3ext.h", "C++", 613, 0, 0, 101, 6, 720
"Total", "-", 74378, 22, 379924, 209144, 50364, 713832
